feat	param	r2
%Area_std	Ga/Da	1.0
%Area_inverted_std	Ga/Da	1.0
%Area_mean	Ga/Da	0.28125350158171825
RawIntDen_inverted_mean	Ga/Da	0.2723330436850735
%Area_inverted_mean	Ga/Da	0.17532665341723352
Solidity_std	Ga/Da	0.013556151146207118
AR_std	Ga/Da	0.013246138129037077
num_spots_inverted	Ga/Da	0.012379020898505844
Solidity_inverted_std	Ga/Da	0.010307687936845111
num_spots	Ga/Da	0.010160940832838361
Solidity_mean	Ga/Da	0.007938467750834066
Angle_mean	Ga/Da	0.007605104314122424
MinFeret_inverted_std	Ga/Da	0.007295921695628649
Round_std	Ga/Da	0.006830233815609765
MinFeret_std	Ga/Da	0.006008958952020582
AR_inverted_std	Ga/Da	0.005820402042990724
Solidity_inverted_mean	Ga/Da	0.004864548116043088
FeretAngle_mean	Ga/Da	0.004402517656094895
AR_inverted_mean	Ga/Da	0.0038839121722914483
Angle_inverted_mean	Ga/Da	0.0035826072386228036
FeretAngle_inverted_mean	Ga/Da	0.002768069379546656
Circ._mean	Ga/Da	0.0027035160861291763
X_inverted_mean	Ga/Da	0.00017937145515312114
Y_inverted_mean	Ga/Da	0.00012993987617992975
X_mean	Ga/Da	3.922181612303621e-05
Y_mean	Ga/Da	6.852419853431435e-06
