feat	param	r2
%Area_inverted_std	Ga	1.0
%Area_std	Ga	1.0
%Area_mean	Ga	0.29606702301775234
RawIntDen_inverted_mean	Ga	0.2921663003219729
%Area_inverted_mean	Ga	0.19065700600932234
AR_std	Ga	0.014187933277870046
Solidity_std	Ga	0.013378935652068824
Solidity_inverted_std	Ga	0.010618599531230233
num_spots_inverted	Ga	0.010526307687940495
Solidity_mean	Ga	0.007783457076333544
Angle_mean	Ga	0.00768515553776572
MinFeret_inverted_std	Ga	0.007667439380484753
num_spots	Ga	0.007578928711477251
Round_std	Ga	0.006554848236521749
MinFeret_std	Ga	0.006228061194683443
AR_inverted_std	Ga	0.005802171787751775
Solidity_inverted_mean	Ga	0.0049226405590939715
FeretAngle_mean	Ga	0.00464229042161568
AR_inverted_mean	Ga	0.00391543534875638
Circ._mean	Ga	0.003391852278801455
Angle_inverted_mean	Ga	0.003289042559152855
FeretAngle_inverted_mean	Ga	0.0029647154275741494
X_inverted_mean	Ga	0.0001971927835248133
Y_inverted_mean	Ga	0.0001637667675368215
X_mean	Ga	3.729334572244447e-05
Y_mean	Ga	3.1312511380110486e-05
