feat	param	r2
%Area_std	Gi/Ba	1.0
%Area_inverted_std	Gi/Ba	1.0
Solidity_mean	Gi/Ba	0.011520168704444611
%Area_inverted_mean	Gi/Ba	0.010873602078492972
Solidity_std	Gi/Ba	0.008318673169097068
num_spots	Gi/Ba	0.007292936168313946
Round_std	Gi/Ba	0.006590102197450709
Angle_mean	Gi/Ba	0.0064098172489274186
Angle_inverted_mean	Gi/Ba	0.005902577877852089
RawIntDen_inverted_mean	Gi/Ba	0.005030336076376152
num_spots_inverted	Gi/Ba	0.004739052022915913
AR_std	Gi/Ba	0.003224667293895811
FeretAngle_mean	Gi/Ba	0.0029939199964923446
FeretAngle_inverted_mean	Gi/Ba	0.0014155431501851057
MinFeret_inverted_std	Gi/Ba	0.0008961108444887067
MinFeret_std	Gi/Ba	0.0008642285064478505
Solidity_inverted_std	Gi/Ba	0.0006602556080629318
Circ._mean	Gi/Ba	0.0006414914018572082
AR_inverted_std	Gi/Ba	0.0005164514654428798
Solidity_inverted_mean	Gi/Ba	0.0003576512245688779
AR_inverted_mean	Gi/Ba	9.553580339205503e-05
X_mean	Gi/Ba	7.216998499315341e-05
Y_inverted_mean	Gi/Ba	1.2183760142669975e-05
Y_mean	Gi/Ba	4.332127131578822e-06
%Area_mean	Gi/Ba	3.887894652221391e-06
X_inverted_mean	Gi/Ba	9.482898193358125e-07
