feat	param	r2
%Area_inverted_std	Gi/Da	1.0
%Area_std	Gi/Da	1.0
RawIntDen_inverted_mean	Gi/Da	0.05214226498922658
%Area_inverted_mean	Gi/Da	0.0359420749193593
%Area_mean	Gi/Da	0.021234249776308278
Circ._mean	Gi/Da	0.019455478953110728
num_spots	Gi/Da	0.015216309910536685
num_spots_inverted	Gi/Da	0.005569032481325564
Solidity_inverted_mean	Gi/Da	0.0026392228559378728
Solidity_mean	Gi/Da	0.0025434762105366326
Round_std	Gi/Da	0.0025369968367104923
Angle_inverted_mean	Gi/Da	0.0016725894796397744
MinFeret_inverted_std	Gi/Da	0.0010832442325190428
MinFeret_std	Gi/Da	0.0010771916971611395
Solidity_inverted_std	Gi/Da	0.0008026356284932534
AR_inverted_std	Gi/Da	0.0007658789591826753
Y_mean	Gi/Da	0.0005267130781408946
X_inverted_mean	Gi/Da	0.0003804272896332783
X_mean	Gi/Da	0.0002795660971226521
Angle_mean	Gi/Da	0.0001764000796690146
FeretAngle_inverted_mean	Gi/Da	9.989552179689998e-05
AR_inverted_mean	Gi/Da	7.110760575823605e-05
AR_std	Gi/Da	5.906206811667758e-05
Solidity_std	Gi/Da	5.8803283180752786e-05
Y_inverted_mean	Gi/Da	3.663807708220723e-05
FeretAngle_mean	Gi/Da	1.4498288041231433e-06
