feat	param	r2
%Area_std	Ua/Ba	1.0
%Area_inverted_std	Ua/Ba	1.0
Solidity_inverted_mean	Ua/Ba	0.01073044137916146
Circ._mean	Ua/Ba	0.00840022140735941
Round_std	Ua/Ba	0.00509797446991378
num_spots	Ua/Ba	0.003949204418829622
%Area_inverted_mean	Ua/Ba	0.0037894859623429644
Angle_inverted_mean	Ua/Ba	0.003526937522462914
RawIntDen_inverted_mean	Ua/Ba	0.0031240758031891858
FeretAngle_mean	Ua/Ba	0.002011350940801071
Angle_mean	Ua/Ba	0.0017768187978167704
num_spots_inverted	Ua/Ba	0.0015991344352396242
AR_inverted_mean	Ua/Ba	0.00036579084285681684
FeretAngle_inverted_mean	Ua/Ba	0.0002846458800703777
Y_mean	Ua/Ba	0.0002370901583438334
Solidity_mean	Ua/Ba	0.00021821007254319014
%Area_mean	Ua/Ba	0.00016423521732211732
AR_inverted_std	Ua/Ba	0.00015024571514032914
X_inverted_mean	Ua/Ba	0.00013582377820076097
AR_std	Ua/Ba	7.74118970009452e-05
Solidity_inverted_std	Ua/Ba	7.434622267299407e-05
X_mean	Ua/Ba	5.776638903587372e-05
MinFeret_inverted_std	Ua/Ba	1.1139451089436925e-05
MinFeret_std	Ua/Ba	8.353117954218447e-06
Y_inverted_mean	Ua/Ba	5.1420994647832785e-06
Solidity_std	Ua/Ba	2.203587792348749e-06
