feat	param	r2
%Area_std	Ua/Da	1.0
%Area_inverted_std	Ua/Da	1.0
%Area_inverted_mean	Ua/Da	0.07657500063485134
RawIntDen_inverted_mean	Ua/Da	0.0681365337073736
num_spots	Ua/Da	0.03175425842572466
Solidity_mean	Ua/Da	0.028132471508913626
%Area_mean	Ua/Da	0.027781063845705556
Solidity_std	Ua/Da	0.024294715797168243
num_spots_inverted	Ua/Da	0.01587174062463048
Angle_inverted_mean	Ua/Da	0.006946859707848585
Round_std	Ua/Da	0.006870840864009686
AR_std	Ua/Da	0.006406216305904433
Solidity_inverted_mean	Ua/Da	0.006280604874395523
Angle_mean	Ua/Da	0.004668096714649961
FeretAngle_inverted_mean	Ua/Da	0.0028518465470761534
FeretAngle_mean	Ua/Da	0.0016675705439008759
Circ._mean	Ua/Da	0.0012666106641179287
MinFeret_inverted_std	Ua/Da	0.0011167436502493855
AR_inverted_mean	Ua/Da	0.0006272833966910474
MinFeret_std	Ua/Da	0.0003054455229732911
X_mean	Ua/Da	0.0003051678977078476
Solidity_inverted_std	Ua/Da	0.0001272877625789759
AR_inverted_std	Ua/Da	8.926379063567413e-05
Y_inverted_mean	Ua/Da	1.6862069342815644e-05
Y_mean	Ua/Da	1.0184504435462038e-05
X_inverted_mean	Ua/Da	2.9126512545163408e-06
