feat	param	r2
%Area_std	Ua/Di	1.0
%Area_inverted_std	Ua/Di	1.0
RawIntDen_inverted_mean	Ua/Di	0.03669946305689231
%Area_mean	Ua/Di	0.03403755681745846
%Area_inverted_mean	Ua/Di	0.02746764953353409
num_spots	Ua/Di	0.016205190189929497
Solidity_inverted_mean	Ua/Di	0.011383239421520308
num_spots_inverted	Ua/Di	0.0035370809822705684
FeretAngle_mean	Ua/Di	0.00350233645417386
Solidity_std	Ua/Di	0.003047197883656927
Angle_mean	Ua/Di	0.002583902171777064
Solidity_mean	Ua/Di	0.001242938572198371
AR_inverted_mean	Ua/Di	0.0010636967836256117
AR_inverted_std	Ua/Di	0.0008332616344652877
MinFeret_std	Ua/Di	0.0008010082493079551
Solidity_inverted_std	Ua/Di	0.0007353603760480443
Round_std	Ua/Di	0.0005025662637543338
X_mean	Ua/Di	0.00040185228608580204
Angle_inverted_mean	Ua/Di	0.00013594596523880398
X_inverted_mean	Ua/Di	0.00013114003520509065
Y_inverted_mean	Ua/Di	8.044310434285329e-05
Y_mean	Ua/Di	2.8057436617046072e-05
Circ._mean	Ua/Di	2.394868486554902e-05
MinFeret_inverted_std	Ua/Di	1.7346733478640353e-05
FeretAngle_inverted_mean	Ua/Di	1.685587981814507e-05
AR_std	Ua/Di	5.8090049398495935e-06
