feat	param	r2
%Area_inverted_std	Ua/Ga	1.0
%Area_std	Ua/Ga	1.0
%Area_mean	Ua/Ga	0.37180865297595933
RawIntDen_inverted_mean	Ua/Ga	0.27136383026551214
%Area_inverted_mean	Ua/Ga	0.1753001004520437
Solidity_inverted_mean	Ua/Ga	0.034240824793755786
Angle_mean	Ua/Ga	0.02594489176264414
Round_std	Ua/Ga	0.022985791083278806
FeretAngle_mean	Ua/Ga	0.020853289174452172
Angle_inverted_mean	Ua/Ga	0.016023253757997624
AR_std	Ua/Ga	0.014721641384798478
num_spots	Ua/Ga	0.010497639899529343
Solidity_mean	Ua/Ga	0.00902239534119642
Solidity_inverted_std	Ua/Ga	0.00785748365760286
Solidity_std	Ua/Ga	0.00778403499908642
AR_inverted_std	Ua/Ga	0.0057356360299408715
MinFeret_std	Ua/Ga	0.005563285567366294
FeretAngle_inverted_mean	Ua/Ga	0.005199958687749473
AR_inverted_mean	Ua/Ga	0.00456730894512114
MinFeret_inverted_std	Ua/Ga	0.00359214242784478
Circ._mean	Ua/Ga	0.002054690439257989
num_spots_inverted	Ua/Ga	0.0010842675206200747
Y_inverted_mean	Ua/Ga	0.000109120474079627
X_inverted_mean	Ua/Ga	9.371362904919689e-05
X_mean	Ua/Ga	7.867836624808611e-05
Y_mean	Ua/Ga	8.606158885537951e-08
