feat	param	r2
%Area_std	Ua/Gi	1.0
%Area_inverted_std	Ua/Gi	1.0
Circ._mean	Ua/Gi	0.018083272274826867
num_spots_inverted	Ua/Gi	0.011183802100275031
Solidity_inverted_mean	Ua/Gi	0.010280330101761326
RawIntDen_inverted_mean	Ua/Gi	0.008491881830317016
Solidity_mean	Ua/Gi	0.005729854449787686
%Area_inverted_mean	Ua/Gi	0.004325671405326026
num_spots	Ua/Gi	0.003787768292549676
Round_std	Ua/Gi	0.0025247150688978426
Solidity_std	Ua/Gi	0.0017009018160004663
Angle_inverted_mean	Ua/Gi	0.00140558382523015
MinFeret_std	Ua/Gi	0.001064968975019731
MinFeret_inverted_std	Ua/Gi	0.0009884423070120052
FeretAngle_mean	Ua/Gi	0.0006327913081571879
Y_mean	Ua/Gi	0.0004497777634829836
X_inverted_mean	Ua/Gi	0.0004472356777467379
X_mean	Ua/Gi	0.00038248951157993094
%Area_mean	Ua/Gi	0.0003777878658346445
Solidity_inverted_std	Ua/Gi	0.000363497289736725
AR_inverted_std	Ua/Gi	0.00014665978231620524
AR_std	Ua/Gi	0.00011910049761498787
Angle_mean	Ua/Gi	7.8227294332045e-05
AR_inverted_mean	Ua/Gi	4.2616041572962615e-05
Y_inverted_mean	Ua/Gi	1.6104376988401725e-05
FeretAngle_inverted_mean	Ua/Gi	5.5612959578565935e-06
