feat	param	r2
%Area_inverted_std	Ui/Ba	1.0
%Area_std	Ui/Ba	1.0
%Area_inverted_mean	Ui/Ba	0.2550738532834539
RawIntDen_inverted_mean	Ui/Ba	0.23573925615685443
Round_std	Ui/Ba	0.06035523957431499
%Area_mean	Ui/Ba	0.05649697901585615
Angle_inverted_mean	Ui/Ba	0.04269785700817974
Angle_mean	Ui/Ba	0.03988273612893278
Circ._mean	Ui/Ba	0.034895262601437826
num_spots	Ui/Ba	0.03185973210447901
Solidity_mean	Ui/Ba	0.029108854434251152
FeretAngle_mean	Ui/Ba	0.02882741808447875
AR_std	Ui/Ba	0.02757922513349298
Solidity_std	Ui/Ba	0.02553652813197005
Solidity_inverted_mean	Ui/Ba	0.011535184558128742
FeretAngle_inverted_mean	Ui/Ba	0.008355183644172648
MinFeret_std	Ui/Ba	0.00034969971565168567
MinFeret_inverted_std	Ui/Ba	0.00021869581072719857
num_spots_inverted	Ui/Ba	0.00020767246409036932
X_mean	Ui/Ba	0.00018410673081237228
Y_mean	Ui/Ba	0.00017333685823917033
AR_inverted_mean	Ui/Ba	1.631763743337178e-05
Solidity_inverted_std	Ui/Ba	1.530362935409091e-05
X_inverted_mean	Ui/Ba	7.856783534210265e-06
Y_inverted_mean	Ui/Ba	3.998367578805784e-06
AR_inverted_std	Ui/Ba	2.4924701735873356e-07
