feat	param	r2
%Area_std	Ui/Gi	1.0
%Area_inverted_std	Ui/Gi	1.0
RawIntDen_inverted_mean	Ui/Gi	0.19351487652395882
%Area_inverted_mean	Ui/Gi	0.1795222901363409
%Area_mean	Ui/Gi	0.051077859292208316
Circ._mean	Ui/Gi	0.04064870777920826
Round_std	Ui/Gi	0.035978820852665905
Angle_inverted_mean	Ui/Gi	0.023362055624393974
num_spots	Ui/Gi	0.02190772027333332
Angle_mean	Ui/Gi	0.017959832069517012
FeretAngle_mean	Ui/Gi	0.015219322123921963
AR_std	Ui/Gi	0.013837337854967435
Solidity_std	Ui/Gi	0.009192403196016885
Solidity_inverted_mean	Ui/Gi	0.008556530180702682
Solidity_mean	Ui/Gi	0.007141164404484424
num_spots_inverted	Ui/Gi	0.0033169592563327965
FeretAngle_inverted_mean	Ui/Gi	0.0032561163423722173
Y_mean	Ui/Gi	0.0004736283234205718
Solidity_inverted_std	Ui/Gi	0.00044608804972157134
AR_inverted_std	Ui/Gi	0.00036921200620188
MinFeret_std	Ui/Gi	0.0002452652694819868
MinFeret_inverted_std	Ui/Gi	0.00016444063411291676
X_inverted_mean	Ui/Gi	5.6650730092866475e-05
Y_inverted_mean	Ui/Gi	1.4965538707278903e-05
X_mean	Ui/Gi	3.478007592483401e-06
AR_inverted_mean	Ui/Gi	2.5273134808267983e-06
