feat	param	r2
%Area_inverted_mean	Ga/Ba	0.273870437506912
%Area_inverted_mean	Ui/Ba	0.2550738532834539
%Area_inverted_mean	Ga/Gi	0.1982396812727969
%Area_inverted_mean	Ga	0.19065700600932234
%Area_inverted_mean	Ui/Gi	0.1795222901363409
%Area_inverted_mean	Ga/Da	0.17532665341723352
%Area_inverted_mean	Ua/Ga	0.1753001004520437
%Area_inverted_mean	Ui	0.1683744480812408
%Area_inverted_mean	Ui/Da	0.15719907173598902
%Area_inverted_mean	Ua/Ui	0.09940049974105669
%Area_inverted_mean	Da/Ba	0.09551365813214474
%Area_inverted_mean	Ba	0.09275571188480614
%Area_inverted_mean	Ua	0.08265162491087852
%Area_inverted_mean	Ua/Da	0.07657500063485134
%Area_inverted_mean	Ui/Di	0.06650620389671646
%Area_inverted_mean	Ga/Di	0.06188123796203848
%Area_inverted_mean	Di/Ba	0.06122609854553762
%Area_inverted_mean	Gi	0.03919767723238665
%Area_inverted_mean	Gi/Da	0.0359420749193593
%Area_inverted_mean	Ua/Di	0.02746764953353409
%Area_inverted_mean	Gi/Di	0.0180764662881594
%Area_inverted_mean	Gi/Ba	0.010873602078492972
%Area_inverted_mean	Ua/Gi	0.004325671405326026
%Area_inverted_mean	Ua/Ba	0.0037894859623429644
%Area_inverted_mean	Di	0.0006168594067560429
%Area_inverted_mean	Da/Di	0.00017089789751356665
%Area_inverted_mean	Da	9.171348215986086e-06
