feat	param	r2
%Area_mean	Ua/Ga	0.37180865297595933
%Area_mean	Ga	0.29606702301775234
%Area_mean	Ga/Da	0.28125350158171825
%Area_mean	Ga/Ba	0.16617321732061463
%Area_mean	Ua/Ui	0.14470773731198838
%Area_mean	Ga/Gi	0.13412256700516767
%Area_mean	Ga/Di	0.06524628018054845
%Area_mean	Ui/Ba	0.05649697901585615
%Area_mean	Ui/Da	0.054598855380004196
%Area_mean	Ui	0.054542975802371996
%Area_mean	Ui/Gi	0.051077859292208316
%Area_mean	Ua	0.034759766122163915
%Area_mean	Ua/Di	0.03403755681745846
%Area_mean	Gi/Di	0.033551357397010095
%Area_mean	Ua/Da	0.027781063845705556
%Area_mean	Gi	0.026600364851075753
%Area_mean	Ba	0.021747537025247787
%Area_mean	Gi/Da	0.021234249776308278
%Area_mean	Di/Ba	0.020967915296873474
%Area_mean	Da/Ba	0.014447162596724294
%Area_mean	Da/Di	0.012094353864405716
%Area_mean	Di	0.008038950890207675
%Area_mean	Ui/Di	0.007798180703045943
%Area_mean	Da	0.0016028118736383101
%Area_mean	Ua/Gi	0.0003777878658346445
%Area_mean	Ua/Ba	0.00016423521732211732
%Area_mean	Gi/Ba	3.887894652221391e-06
