feat	param	r2
AR_inverted_mean	Ua/Ga	0.00456730894512114
AR_inverted_mean	Ga	0.00391543534875638
AR_inverted_mean	Ga/Da	0.0038839121722914483
AR_inverted_mean	Ua/Ui	0.002162357098367207
AR_inverted_mean	Ua/Di	0.0010636967836256117
AR_inverted_mean	Gi/Di	0.0009643102369431
AR_inverted_mean	Da/Di	0.0007779493997123188
AR_inverted_mean	Ua	0.0007257032202087066
AR_inverted_mean	Ua/Da	0.0006272833966910474
AR_inverted_mean	Di	0.0005149236777208799
AR_inverted_mean	Ga/Gi	0.0004504237462344962
AR_inverted_mean	Ua/Ba	0.00036579084285681684
AR_inverted_mean	Ga/Ba	0.00027098219100329946
AR_inverted_mean	Ui/Da	0.00017824472369620814
AR_inverted_mean	Ui	0.0001751895954976712
AR_inverted_mean	Ga/Di	0.0001343832736667716
AR_inverted_mean	Gi	0.0001222952066882721
AR_inverted_mean	Ui/Di	0.00010259171664050992
AR_inverted_mean	Gi/Ba	9.553580339205503e-05
AR_inverted_mean	Gi/Da	7.110760575823605e-05
AR_inverted_mean	Da/Ba	6.553497745409587e-05
AR_inverted_mean	Ua/Gi	4.2616041572962615e-05
AR_inverted_mean	Ba	1.649451146190639e-05
AR_inverted_mean	Ui/Ba	1.631763743337178e-05
AR_inverted_mean	Di/Ba	1.3899264799888122e-05
AR_inverted_mean	Da	1.2016927256164323e-05
AR_inverted_mean	Ui/Gi	2.5273134808267983e-06
