feat	param	r2
Angle_mean	Ui/Ba	0.03988273612893278
Angle_mean	Ua/Ga	0.02594489176264414
Angle_mean	Ui/Di	0.02323337802214387
Angle_mean	Ui/Gi	0.017959832069517012
Angle_mean	Ui	0.017611310076738662
Angle_mean	Ui/Da	0.015360625733280231
Angle_mean	Da/Ba	0.014718412647617307
Angle_mean	Da/Di	0.011774145247472556
Angle_mean	Di	0.00912956323288383
Angle_mean	Gi/Di	0.00876221558824486
Angle_mean	Ba	0.008343593042304032
Angle_mean	Ga	0.00768515553776572
Angle_mean	Ga/Da	0.007605104314122424
Angle_mean	Gi/Ba	0.0064098172489274186
Angle_mean	Ga/Ba	0.005782929035923701
Angle_mean	Ua/Da	0.004668096714649961
Angle_mean	Ua	0.004119145626347631
Angle_mean	Ua/Ui	0.0034815836784617415
Angle_mean	Ua/Di	0.002583902171777064
Angle_mean	Ua/Ba	0.0017768187978167704
Angle_mean	Di/Ba	0.0015487257911580565
Angle_mean	Ga/Gi	0.0012922046296748313
Angle_mean	Ga/Di	0.0005020279159169139
Angle_mean	Da	0.00044727954013468185
Angle_mean	Gi	0.00033817074250053203
Angle_mean	Gi/Da	0.0001764000796690146
Angle_mean	Ua/Gi	7.8227294332045e-05
