feat	param	r2
Circ._mean	Ui/Gi	0.04064870777920826
Circ._mean	Ui/Ba	0.034895262601437826
Circ._mean	Ga/Gi	0.032180287422633125
Circ._mean	Ga/Ba	0.023047378363138527
Circ._mean	Da/Ba	0.02096985681178898
Circ._mean	Ui	0.020082363270462755
Circ._mean	Gi	0.019478334860896784
Circ._mean	Gi/Da	0.019455478953110728
Circ._mean	Ui/Da	0.01819486535805126
Circ._mean	Ua/Gi	0.018083272274826867
Circ._mean	Ba	0.016540280593071666
Circ._mean	Di/Ba	0.013453558019785428
Circ._mean	Ui/Di	0.008842968395795792
Circ._mean	Ua/Ba	0.00840022140735941
Circ._mean	Gi/Di	0.005552171509976445
Circ._mean	Ga	0.003391852278801455
Circ._mean	Ga/Da	0.0027035160861291763
Circ._mean	Ua/Ga	0.002054690439257989
Circ._mean	Ua/Da	0.0012666106641179287
Circ._mean	Ua	0.0009500658302146192
Circ._mean	Ga/Di	0.000761957521441925
Circ._mean	Gi/Ba	0.0006414914018572082
Circ._mean	Da	0.0006196038219264954
Circ._mean	Di	0.00025609241226387525
Circ._mean	Da/Di	0.00019357810798736885
Circ._mean	Ua/Di	2.394868486554902e-05
Circ._mean	Ua/Ui	1.3318954722008058e-05
