feat	param	r2
X_inverted_mean	Di/Ba	0.0006244514140264501
X_inverted_mean	Ga/Gi	0.0004548189125839208
X_inverted_mean	Ua/Gi	0.0004472356777467379
X_inverted_mean	Gi	0.0004046741210125271
X_inverted_mean	Gi/Di	0.0004003182869102284
X_inverted_mean	Gi/Da	0.0003804272896332783
X_inverted_mean	Di	0.0003561927950334054
X_inverted_mean	Ui/Di	0.0003050256960775988
X_inverted_mean	Ga/Ba	0.00026887979774403714
X_inverted_mean	Ui	0.00023978937581781157
X_inverted_mean	Ui/Da	0.00021578015996648325
X_inverted_mean	Da/Ba	0.00020903963149121463
X_inverted_mean	Da/Di	0.0002014091445856625
X_inverted_mean	Ga	0.0001971927835248133
X_inverted_mean	Ba	0.00019065722995581513
X_inverted_mean	Ga/Da	0.00017937145515312114
X_inverted_mean	Ua/Ba	0.00013582377820076097
X_inverted_mean	Ua/Di	0.00013114003520509065
X_inverted_mean	Ua/Ga	9.371362904919689e-05
X_inverted_mean	Ui/Gi	5.6650730092866475e-05
X_inverted_mean	Ga/Di	1.0272605126093737e-05
X_inverted_mean	Ui/Ba	7.856783534210265e-06
X_inverted_mean	Da	6.631073666607534e-06
X_inverted_mean	Ua/Ui	4.035519902134688e-06
X_inverted_mean	Ua/Da	2.9126512545163408e-06
X_inverted_mean	Ua	1.3274245181937872e-06
X_inverted_mean	Gi/Ba	9.482898193358125e-07
