feat	param	r2
%Area_inverted_std	Ba	1.0
%Area_std	Ba	1.0
%Area_inverted_mean	Ba	0.09275571188480614
IntDen_inverted_mean	Ba	0.08324925019160945
num_spots	Ba	0.038844643760280406
%Area_mean	Ba	0.021747537025247787
Round_std	Ba	0.01979964695817371
Angle_inverted_mean	Ba	0.01684684637258005
Circ._mean	Ba	0.016540280593071666
Solidity_std	Ba	0.0100817876746353
Solidity_mean	Ba	0.009137802020675156
Angle_mean	Ba	0.008343593042304032
FeretAngle_mean	Ba	0.0054400258453937145
Solidity_inverted_mean	Ba	0.0049977060214616564
AR_std	Ba	0.004582641876099469
FeretAngle_inverted_mean	Ba	0.0042057803175417074
num_spots_inverted	Ba	0.0009486591061351746
Y_mean	Ba	0.00025157025984900994
Solidity_inverted_std	Ba	0.00022004415835241709
MinFeret_std	Ba	0.00019510786428633686
X_inverted_mean	Ba	0.00019065722995581513
MinFeret_inverted_std	Ba	0.00016093489460744514
AR_inverted_std	Ba	6.177219111525023e-05
AR_inverted_mean	Ba	1.649451146190639e-05
Y_inverted_mean	Ba	5.311821205111755e-09
X_mean	Ba	1.182368647434373e-10
