feat	param	r2
%Area_std	Da/Ba	1.0
%Area_inverted_std	Da/Ba	1.0
%Area_inverted_mean	Da/Ba	0.09551365813214474
IntDen_inverted_mean	Da/Ba	0.08043437604208925
num_spots	Da/Ba	0.04430780602000817
Round_std	Da/Ba	0.026569033518127005
Angle_inverted_mean	Da/Ba	0.021955090188791937
Circ._mean	Da/Ba	0.02096985681178898
Solidity_std	Da/Ba	0.015849811940155445
Angle_mean	Da/Ba	0.014718412647617307
%Area_mean	Da/Ba	0.014447162596724294
Solidity_mean	Da/Ba	0.013956394932525207
FeretAngle_mean	Da/Ba	0.00988154353276649
Solidity_inverted_mean	Da/Ba	0.007196061897139949
AR_std	Da/Ba	0.006809156839541419
FeretAngle_inverted_mean	Da/Ba	0.004567906141811573
num_spots_inverted	Da/Ba	0.0020650671509701013
MinFeret_std	Da/Ba	0.0006728071872140751
Solidity_inverted_std	Da/Ba	0.000642469558301495
MinFeret_inverted_std	Da/Ba	0.00047123505331503335
Y_mean	Da/Ba	0.0004586571342120038
X_inverted_mean	Da/Ba	0.00020903963149121463
AR_inverted_std	Da/Ba	0.00016337256978393722
AR_inverted_mean	Da/Ba	6.553497745409587e-05
X_mean	Da/Ba	1.074839395331928e-05
Y_inverted_mean	Da/Ba	1.0246710175021434e-05
