feat	param	r2
%Area_std	Ga/Di	1.0
%Area_inverted_std	Ga/Di	1.0
IntDen_inverted_mean	Ga/Di	0.07692070229112957
%Area_mean	Ga/Di	0.06524628018054845
%Area_inverted_mean	Ga/Di	0.06188123796203848
num_spots	Ga/Di	0.01140396548591005
num_spots_inverted	Ga/Di	0.002787657505537
Solidity_std	Ga/Di	0.002557003492567933
AR_std	Ga/Di	0.0010405254330926317
MinFeret_inverted_std	Ga/Di	0.0008397049911378351
FeretAngle_mean	Ga/Di	0.0007852292080712253
Circ._mean	Ga/Di	0.000761957521441925
X_mean	Ga/Di	0.00067762974420571
Angle_mean	Ga/Di	0.0005020279159169139
Solidity_inverted_std	Ga/Di	0.0004981259827482321
AR_inverted_std	Ga/Di	0.00022814764750156424
AR_inverted_mean	Ga/Di	0.0001343832736667716
Solidity_mean	Ga/Di	0.00012223072608630314
FeretAngle_inverted_mean	Ga/Di	0.00011547319241411724
Solidity_inverted_mean	Ga/Di	0.00010431149821876762
Angle_inverted_mean	Ga/Di	5.385623409670526e-05
Y_mean	Ga/Di	2.241579037143282e-05
MinFeret_std	Ga/Di	2.2257697673611077e-05
X_inverted_mean	Ga/Di	1.0272605126093737e-05
Y_inverted_mean	Ga/Di	2.117820481206678e-06
Round_std	Ga/Di	1.7695544866080937e-06
