feat	param	r2
%Area_inverted_std	Ga/Gi	1.0
%Area_std	Ga/Gi	1.0
IntDen_inverted_mean	Ga/Gi	0.2472259511754602
%Area_inverted_mean	Ga/Gi	0.1982396812727969
%Area_mean	Ga/Gi	0.13412256700516767
Circ._mean	Ga/Gi	0.032180287422633125
num_spots	Ga/Gi	0.01318363397089184
num_spots_inverted	Ga/Gi	0.006859863398047561
Round_std	Ga/Gi	0.006820251653735121
Angle_inverted_mean	Ga/Gi	0.005952478554450247
Solidity_inverted_mean	Ga/Gi	0.0038699285515921833
FeretAngle_mean	Ga/Gi	0.002120803685181194
Solidity_inverted_std	Ga/Gi	0.002073242802175357
MinFeret_std	Ga/Gi	0.0018046632137759255
MinFeret_inverted_std	Ga/Gi	0.001802145540462985
AR_inverted_std	Ga/Gi	0.0013319880611573076
Angle_mean	Ga/Gi	0.0012922046296748313
Y_mean	Ga/Gi	0.0006146787013051602
X_inverted_mean	Ga/Gi	0.0004548189125839208
AR_inverted_mean	Ga/Gi	0.0004504237462344962
FeretAngle_inverted_mean	Ga/Gi	0.0003419566185990375
Solidity_mean	Ga/Gi	0.00012496295189223794
X_mean	Ga/Gi	2.374740523580776e-05
Solidity_std	Ga/Gi	1.5351719385714446e-05
Y_inverted_mean	Ga/Gi	2.1176704886327613e-06
AR_std	Ga/Gi	8.32364277503217e-09
