feat	param	r2
%Area_inverted_std	Gi/Di	1.0
%Area_std	Gi/Di	1.0
IntDen_inverted_mean	Gi/Di	0.037399660906905496
%Area_mean	Gi/Di	0.033551357397010095
%Area_inverted_mean	Gi/Di	0.0180764662881594
num_spots	Gi/Di	0.011403007269365273
Angle_mean	Gi/Di	0.00876221558824486
Solidity_mean	Gi/Di	0.006823199218385478
FeretAngle_mean	Gi/Di	0.006177572148032162
Circ._mean	Gi/Di	0.005552171509976445
MinFeret_std	Gi/Di	0.00362684767498056
num_spots_inverted	Gi/Di	0.0035649704465873233
Solidity_inverted_std	Gi/Di	0.00321368326366811
AR_std	Gi/Di	0.0027137398871391882
AR_inverted_std	Gi/Di	0.0022447843830519787
MinFeret_inverted_std	Gi/Di	0.0018959261572877306
X_mean	Gi/Di	0.0014379554893484414
Round_std	Gi/Di	0.0011930701023437074
Solidity_inverted_mean	Gi/Di	0.0010263843180090548
Solidity_std	Gi/Di	0.0009770000389928146
AR_inverted_mean	Gi/Di	0.0009643102369431
Angle_inverted_mean	Gi/Di	0.0009293506924420436
X_inverted_mean	Gi/Di	0.0004003182869102284
FeretAngle_inverted_mean	Gi/Di	0.000381925753408785
Y_mean	Gi/Di	0.00021684335024685364
Y_inverted_mean	Gi/Di	7.216289951372801e-06
