feat	param	r2
%Area_std	Gi	1.0
%Area_inverted_std	Gi	1.0
IntDen_inverted_mean	Gi	0.05854174044040772
%Area_inverted_mean	Gi	0.03919767723238665
%Area_mean	Gi	0.026600364851075753
Circ._mean	Gi	0.019478334860896784
num_spots	Gi	0.011803823098922916
num_spots_inverted	Gi	0.007512036208225048
Solidity_mean	Gi	0.0034228114428616063
Solidity_inverted_mean	Gi	0.002451425450528788
Round_std	Gi	0.002012670336002831
MinFeret_std	Gi	0.0014078773965389146
MinFeret_inverted_std	Gi	0.0012954215663044666
Angle_inverted_mean	Gi	0.001254435896059336
Solidity_inverted_std	Gi	0.0011002722598054682
AR_inverted_std	Gi	0.0010350235571400246
Y_mean	Gi	0.0004901070480276548
X_inverted_mean	Gi	0.0004046741210125271
Angle_mean	Gi	0.00033817074250053203
X_mean	Gi	0.00031550406029912104
Solidity_std	Gi	0.0002791575096310339
AR_inverted_mean	Gi	0.0001222952066882721
AR_std	Gi	0.00011685414193896015
FeretAngle_inverted_mean	Gi	9.032379924545086e-05
Y_inverted_mean	Gi	3.251218721511684e-05
FeretAngle_mean	Gi	1.7644861046717253e-06
