feat	param	r2
%Area_std	Ua/Ui	1.0
%Area_inverted_std	Ua/Ui	1.0
IntDen_inverted_mean	Ua/Ui	0.14730309739394132
%Area_mean	Ua/Ui	0.14470773731198838
%Area_inverted_mean	Ua/Ui	0.09940049974105669
Solidity_inverted_mean	Ua/Ui	0.014697423474037796
num_spots	Ua/Ui	0.00536473880638888
Solidity_inverted_std	Ua/Ui	0.00437307708203627
Angle_mean	Ua/Ui	0.0034815836784617415
AR_inverted_std	Ua/Ui	0.0032879431231467304
FeretAngle_mean	Ua/Ui	0.0029771927009277777
MinFeret_std	Ua/Ui	0.002376870125374353
AR_inverted_mean	Ua/Ui	0.002162357098367207
Angle_inverted_mean	Ua/Ui	0.0019779676999452933
MinFeret_inverted_std	Ua/Ui	0.0013387895719912946
num_spots_inverted	Ua/Ui	0.0009499484142991843
Round_std	Ua/Ui	0.0009302033295147671
FeretAngle_inverted_mean	Ua/Ui	0.0008369092530312594
Solidity_mean	Ua/Ui	0.0007642711861762796
AR_std	Ua/Ui	0.0004837375375000841
Solidity_std	Ua/Ui	9.984819590069804e-05
Y_mean	Ua/Ui	3.904354869432858e-05
Y_inverted_mean	Ua/Ui	3.68020858633189e-05
Circ._mean	Ua/Ui	1.3318954722008058e-05
X_inverted_mean	Ua/Ui	4.035519902134688e-06
X_mean	Ua/Ui	5.106078351246879e-07
