feat	param	r2
%Area_std	Ua	1.0
%Area_inverted_std	Ua	1.0
%Area_inverted_mean	Ua	0.08265162491087852
IntDen_inverted_mean	Ua	0.07630309547946013
%Area_mean	Ua	0.034759766122163915
Solidity_mean	Ua	0.027679463833333973
num_spots	Ua	0.026685643102544843
Solidity_std	Ua	0.023684825181707225
num_spots_inverted	Ua	0.013513934184846144
Solidity_inverted_mean	Ua	0.007593907557599366
AR_std	Ua	0.006468046402432037
Angle_inverted_mean	Ua	0.006210383979082801
Round_std	Ua	0.006044851894875136
Angle_mean	Ua	0.004119145626347631
FeretAngle_inverted_mean	Ua	0.002901295449530661
FeretAngle_mean	Ua	0.0014552241081483563
MinFeret_inverted_std	Ua	0.0010935909757376905
Circ._mean	Ua	0.0009500658302146192
AR_inverted_mean	Ua	0.0007257032202087066
X_mean	Ua	0.0003214726957471159
MinFeret_std	Ua	0.0002721689095671609
AR_inverted_std	Ua	0.00014854890546922572
Solidity_inverted_std	Ua	7.251471996816417e-05
Y_inverted_mean	Ua	1.3808557834948942e-05
X_inverted_mean	Ua	1.3274245181937872e-06
Y_mean	Ua	5.833494897133917e-07
