feat	param	r2
%Area_std	Ui/Da	1.0
%Area_inverted_std	Ui/Da	1.0
IntDen_inverted_mean	Ui/Da	0.17687939964447108
%Area_inverted_mean	Ui/Da	0.15719907173598902
%Area_mean	Ui/Da	0.054598855380004196
Round_std	Ui/Da	0.027093649375985462
Circ._mean	Ui/Da	0.01819486535805126
AR_std	Ui/Da	0.01601439044122477
Angle_mean	Ui/Da	0.015360625733280231
Angle_inverted_mean	Ui/Da	0.014854216744015325
FeretAngle_mean	Ui/Da	0.010986140890504315
Solidity_mean	Ui/Da	0.008895422312894308
Solidity_std	Ui/Da	0.008191045982574918
num_spots_inverted	Ui/Da	0.002459848403291276
FeretAngle_inverted_mean	Ui/Da	0.0016807002759725576
Solidity_inverted_std	Ui/Da	0.001489698371297865
AR_inverted_std	Ui/Da	0.0007670766673745222
Solidity_inverted_mean	Ui/Da	0.0005351546361664905
num_spots	Ui/Da	0.00028578401178613877
MinFeret_std	Ui/Da	0.00026516502792028884
MinFeret_inverted_std	Ui/Da	0.0002298354353567067
X_inverted_mean	Ui/Da	0.00021578015996648325
AR_inverted_mean	Ui/Da	0.00017824472369620814
X_mean	Ui/Da	6.964165686917934e-05
Y_mean	Ui/Da	3.597505309205218e-07
Y_inverted_mean	Ui/Da	3.4342507893025953e-07
