feat	param	r2
%Area_std	Ui/Di	1.0
%Area_inverted_std	Ui/Di	1.0
%Area_inverted_mean	Ui/Di	0.06650620389671646
IntDen_inverted_mean	Ui/Di	0.05816371075631743
Round_std	Ui/Di	0.02636424752949107
Angle_mean	Ui/Di	0.02323337802214387
FeretAngle_mean	Ui/Di	0.018030228960709827
Angle_inverted_mean	Ui/Di	0.016122509000618512
AR_std	Ui/Di	0.015069519413867027
Solidity_mean	Ui/Di	0.011180653475641789
Circ._mean	Ui/Di	0.008842968395795792
%Area_mean	Ui/Di	0.007798180703045943
Solidity_std	Ui/Di	0.007188016219323301
Solidity_inverted_mean	Ui/Di	0.005234984511974461
FeretAngle_inverted_mean	Ui/Di	0.002117186272660332
X_mean	Ui/Di	0.0008143588370852495
MinFeret_std	Ui/Di	0.0005111984700797434
num_spots_inverted	Ui/Di	0.0004309665887628489
X_inverted_mean	Ui/Di	0.0003050256960775988
MinFeret_inverted_std	Ui/Di	0.0002091688582259721
num_spots	Ui/Di	0.00020713331174782024
AR_inverted_mean	Ui/Di	0.00010259171664050992
Solidity_inverted_std	Ui/Di	7.961085492746989e-05
Y_inverted_mean	Ui/Di	4.054311309265035e-05
AR_inverted_std	Ui/Di	3.656847274147168e-05
Y_mean	Ui/Di	5.398145157542444e-07
