feat	param	r2
%Area_inverted_std	Ui	1.0
%Area_std	Ui	1.0
IntDen_inverted_mean	Ui	0.18579767265846026
%Area_inverted_mean	Ui	0.1683744480812408
%Area_mean	Ui	0.054542975802371996
Round_std	Ui	0.030708912342064743
Circ._mean	Ui	0.020082363270462755
AR_std	Ui	0.017796140706123453
Angle_mean	Ui	0.017611310076738662
Angle_inverted_mean	Ui	0.01724053846953877
FeretAngle_mean	Ui	0.012343002367785072
Solidity_mean	Ui	0.010739175509445364
Solidity_std	Ui	0.009992245976111702
FeretAngle_inverted_mean	Ui	0.0019272013254520992
num_spots_inverted	Ui	0.0015584269278400287
Solidity_inverted_std	Ui	0.0014253524076845991
num_spots	Ui	0.0010821263771241263
Solidity_inverted_mean	Ui	0.0007594249816900156
AR_inverted_std	Ui	0.0007085814636046406
X_inverted_mean	Ui	0.00023978937581781157
MinFeret_inverted_std	Ui	0.00022511797397450906
MinFeret_std	Ui	0.00022504238877540939
AR_inverted_mean	Ui	0.0001751895954976712
X_mean	Ui	7.531487499745637e-05
Y_mean	Ui	8.533325169257644e-06
Y_inverted_mean	Ui	2.054962147446382e-06
