 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,RTO_rnai_high_(green)_(0-103).tif,40000,126.754,127.499,0,0,255,100.000,100.000,100.229,94.820,800.000,0,0,200,200,225.676,225.676,0.000,0.785,282.843,5070165,0,0.012,-2.000,49.708,5070165,0,0,135.000,200.000,1.000,1.000,1.000
2,RTO_rnai_high_(green)_(0-103).tif,7934,255.000,0.000,255,255,255,29.292,97.004,29.292,97.004,1120.347,0,0,72,200,170.029,59.413,85.436,0.079,210.609,2023170,255,NaN,NaN,100.000,2023170,4,0,108.263,72.000,2.862,0.349,0.569
3,RTO_rnai_high_(green)_(0-103).tif,25,255.000,0.000,255,255,255,82.060,2.700,82.060,2.700,19.899,79,0,6,6,6.567,4.847,96.970,0.793,7.810,6375,255,NaN,NaN,100.000,6375,79,0,129.806,6.000,1.355,0.738,0.833
4,RTO_rnai_high_(green)_(0-103).tif,72,255.000,0.000,255,255,255,113.958,4.417,113.958,4.417,37.213,107,0,12,11,11.904,7.701,125.098,0.653,14.213,18360,255,NaN,NaN,100.000,18360,107,0,129.289,9.089,1.546,0.647,0.783
5,RTO_rnai_high_(green)_(0-103).tif,3989,255.000,0.000,255,255,255,140.602,42.528,140.602,42.528,566.056,98,0,87,113,91.278,55.643,74.274,0.156,123.976,1017195,255,NaN,NaN,100.000,1017195,134,113,65.709,75.667,1.640,0.610,0.652
6,RTO_rnai_high_(green)_(0-103).tif,46,255.000,0.000,255,255,255,153.652,3.522,153.652,3.522,42.042,146,0,15,7,13.384,4.376,162.016,0.327,16.155,11730,255,NaN,NaN,100.000,11730,146,0,158.199,5.769,3.058,0.327,0.643
7,RTO_rnai_high_(green)_(0-103).tif,6,255.000,0.000,255,255,255,159.500,1.000,159.500,1.000,7.657,158,0,3,2,3.385,2.257,0.000,1.000,3.606,1530,255,NaN,NaN,100.000,1530,158,0,146.310,2.000,1.500,0.667,1.000
8,RTO_rnai_high_(green)_(0-103).tif,6446,255.000,0.000,255,255,255,166.497,132.545,166.497,132.545,872.683,81,0,119,200,138.371,59.314,66.139,0.106,232.725,1643730,255,NaN,NaN,100.000,1643730,81,200,59.247,115.557,2.333,0.429,0.445
9,RTO_rnai_high_(green)_(0-103).tif,6,255.000,0.000,255,255,255,60.500,2.000,60.500,2.000,7.657,59,1,3,2,3.385,2.257,0.000,1.000,3.606,1530,255,NaN,NaN,100.000,1530,59,1,146.310,2.000,1.500,0.667,1.000
10,RTO_rnai_high_(green)_(0-103).tif,4,255.000,0.000,255,255,255,167.000,2.000,167.000,2.000,5.657,166,1,2,2,2.257,2.257,0.000,1.000,2.828,1020,255,NaN,NaN,100.000,1020,166,1,135.000,2.000,1.000,1.000,1.000
11,RTO_rnai_high_(green)_(0-103).tif,89,255.000,0.000,255,255,255,72.084,10.118,72.084,10.118,38.870,67,3,10,15,13.893,8.156,65.970,0.740,16.155,22695,255,NaN,NaN,100.000,22695,70,18,68.199,9.475,1.703,0.587,0.828
12,RTO_rnai_high_(green)_(0-103).tif,4,255.000,0.000,255,255,255,161.000,9.000,161.000,9.000,5.657,160,8,2,2,2.257,2.257,0.000,1.000,2.828,1020,255,NaN,NaN,100.000,1020,160,8,135.000,2.000,1.000,1.000,1.000
13,RTO_rnai_high_(green)_(0-103).tif,25,255.000,0.000,255,255,255,99.460,13.340,99.460,13.340,24.142,96,10,8,6,8.099,3.930,142.685,0.539,9.434,6375,255,NaN,NaN,100.000,6375,96,11,147.995,5.657,2.061,0.485,0.685
14,RTO_rnai_high_(green)_(0-103).tif,32,255.000,0.000,255,255,255,84.281,16.281,84.281,16.281,24.971,80,13,8,7,9.383,4.342,144.274,0.645,10.630,8160,255,NaN,NaN,100.000,8160,80,13,138.814,5.814,2.161,0.463,0.744
15,RTO_rnai_high_(green)_(0-103).tif,8,255.000,0.000,255,255,255,106.375,14.625,106.375,14.625,9.071,105,13,3,3,3.538,2.879,135.000,1.000,4.243,2040,255,NaN,NaN,100.000,2040,105,13,135.000,3.000,1.229,0.814,0.941
16,RTO_rnai_high_(green)_(0-103).tif,20,255.000,0.000,255,255,255,104.550,19.950,104.550,19.950,17.314,101,18,7,4,7.238,3.518,165.276,0.838,7.616,5100,255,NaN,NaN,100.000,5100,101,19,156.801,4.000,2.057,0.486,0.851
